Skills,Position
" sales and operations planning (s&op),sap project management,mise en oeuvre de la planification des ventes et des opérations (s&op),sap ibp,sap configuration,microsoft excel,gestion du temps,amélioration continue,normes iso,système qualité,gestion de la qualité,lean management,gestion de la chaîne logistique,lean six sigma,gestion de la logistique,génie industriel,ingénierie,sécurité au travail,iso 9001,analyse des risques,gestion de la maintenance,sécurité lieu de travail,iso 14001,six sigma,assurance qualité,gestion de projets,gestion des risques,excellence opérationnelle,optimisation de la chaîne logistique,planification des ressources d’entreprise (erp),planification production,sap,ordonnancement des processus,travail d’équipe,gestion du stress,management,gestion d’équipe,iso 45001,ohsas 18001,gestion des processus industriels,gestion de projet,gestion des conflits,sap hana,sap erp,sap mm,sap sales & distribution,sap-sd,déploiement sap,sap fico,sap fi,produits sap",SAP functional consultant
".net 8,asp.net mvc,angular,sql,optical character recognition (ocr),windows forms,vuejs,c#,asp.net,.net framework,microsoft sql server,c (programming language)",.Net/Angular Developer
".net core,.net framework,angular,gestion d’équipe,bases de données,microservices,c#,typescript,javascript,asp.net,développement de logiciel,scrum,programmation orientée objet (oop),xml,microsoft azure,git,sql,html,mongodb",Team Leader
".net core,devops,administration réseau,administration système,administration de bases de données,symfony,java,javascript,html5,traitement de signal,sécurité réseau,openstack,outils uml,feuilles de style en cascade (css),sql,cybersécurité,analyse de données,ingénierie,gestion de projet,c++,microsoft office,angularjs,mongodb,linux,cloud computing,php,api rest,spring boot,python (langage de programmation),framework spring,intégration,français,representational state transfer (rest),bases de données,architecture logicielle,langage de modélisation unifié (uml),visual studio,sécurité des données",Ingénieur Full Stack
".net framework,angular,web development,c#,microsoft azure,test automation,microservices,typescript,powershell,analytical skills,agile methodologies,kanban",Full Stack Developer
".net framework,asp.net mvc,c#,javascript,laravel,jenkins,docker,scrum,mysql,jquery,api rest,html5/css3,linux,devops,développement web back-end",Software Engineer
".net framework,asp.net mvc,puppet,développement de logiciel,cloud computing,services web,software development,tdd,agile methodologies,scrum,web development,c#,asp.net,logiciel en tant que service (saas),vmware vsphere,hyper-v,docker,windows server,infrastructure vmware,active directory,microsoft windows,microsoft azure,mysql,sql,amazon web services (aws),team foundation server (tfs),javascript,api web asp.net,iaas en cloud computing,vmware vcenter,openstack,linux kvm,asp.net core,ibm bluemix,behavior-driven development (bdd),chocolatey,artifactory,react.js,bootstrap,cascading style sheets (css),azure devops administrator",Cloud Soutions Architect
".net framework,azure devops,openshift,continuous integration (ci),communication,gradle,version control,shell scripting,ansible,sonarqube,bash,it solutions,operations,cloud services,configuration management,agile development,scripting,nginx,linux system administration,github,devops,test automation,information technology,software development,docker products,continuous integration and continuous delivery (ci/cd),software testing,git,operating systems,maven,jira,jenkins,kubernetes,amazon web services (aws)",Ingénieur DevOps
".net framework,c#,.net core,mysql,html,rest apis,java,javascript,scrum,jquery,unified modeling language (uml),javafx,wordpress,netbeans,symfony",.NET Developer
".net framework,c#,jointjs,devops,python (programming language),angular material,microsoft azure,fastapi,javascript,grafana,typescript,nexus,bitbucket,jenkins,docker,redux,nestjs,node.js,express.js,react.js,postgresql,linux,api rest,mongodb,angular,spring boot,java, python,sql,c (langage de programmation),allemand",Software Developer
".net framework,développement full-stack,microsoft sql server,framework spring,quarkus,angular,développement web back-end,développement java,microservices,api rest,representational state transfer (rest),spécification openapi,api ouverte,api swagger,postgresql,bases de données,mongodb,test unitaire,typescript,git,autonomie,javascript,mysql,maven,hibernate,java",Full-stack Developer
".net framework,java virtual machine (jvm),data architecture,data modeling,problem solving,angular,node.js,amazon web services (aws),react.js,symfony,graphql,spring boot,laravel,postgresql,hibernate,mobile application development,microservices,react native,github,computer science,back-end web development,redux.js,web development,angularjs,mongodb,express.js,.net core,django,javascript,mysql,php,c#,c++,finance,design graphique,python (langage de programmation),sql,linux,feuilles de style en cascade (css),adobe photoshop,adobe illustrator,bootstrap,framework spring,html5,firebase,c (langage de programmation),nosql,typescript,java,git",Software Developer
".net framework,sql server management studio,github,architecture orientée services (soa),mongodb,microsoft sql server,pl/sql,c#,c++,php,html5,xml,unix,wordpress,mysql,r,jquery,oracle database,java enterprise edition,c,symfony,data analysis,visualisation de données",Data Engineering Consultant
".net framework,vue.js,javascript,c#,sql,framework spring,git,laravel,angular material,java,mysql,php,langage de modélisation unifié (uml),javafx,linux,symfony,intelligence artificielle,devops,nexus,jenkins,sonar,node.js,framework symfony,github,java database connectivity (jdbc),modèle mvc de spring,spring integration,schéma xml,intégration continue,outils uml,adobe creative suite,gestion de projets,c,scrum,méthodes agiles,développement web,travail d’équipe,gestion d’équipe,leadership,suite des protocoles internet (tcp/ip),react.js",Ingénieur développement
".net framework,xml,rest apis,javafx,symphony,websocket,research skills,distance learning,angular ,communication,migration,internet of things (iot),agile methodologies,teamwork,knowledge sharing,performance management,unit testing,keycloak,scrum,angular,spring boot,apache kafka,microservices,mean stack,software infrastructure,react ,node.js,creativity skills,problem solving,java,web development,angularjs,javascript,html,css,c,c++,linux,vhdl,php,sql,uml,bootstrap,typescript,développement web,programmation orientée objet (oop),algorithmes,c#,html5,mysql",Software Engineer
".net,linq,c#,jquery ui,microsoft sql server,matlab,financial market research,html,javascript,uml,stored procedures,bootstrap,orm,asp.net ajax,ajax toolkit,consulting,visio,autocad,cloud computing,java,mysql,php",Senior Business analyst
